ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-09-13,10050.627944082516,6525.311599696386,9316.806271335317,10050.627944082516,10050.627944082516,-2038.1686941483113,-2038.1686941483113,-2038.1686941483113,-2038.1686941483113,-2038.1686941483113,-2038.1686941483113,0.0,0.0,0.0,8012.459249934205
2020-09-20,10070.13566820715,6964.522618983751,9799.120657586116,10070.13566820715,10070.13566820715,-1659.5862297067226,-1659.5862297067226,-1659.5862297067226,-1659.5862297067226,-1659.5862297067226,-1659.5862297067226,0.0,0.0,0.0,8410.549438500426
2020-09-27,10089.643389461273,8309.468976779364,11143.056068495183,10089.643389461273,10089.643389461273,-350.07699210529046,-350.07699210529046,-350.07699210529046,-350.07699210529046,-350.07699210529046,-350.07699210529046,0.0,0.0,0.0,9739.566397355982
2020-10-04,10109.151110715395,9985.010679053943,12894.976182257406,10109.151110715395,10109.151110715395,1391.1705070687171,1391.1705070687171,1391.1705070687171,1391.1705070687171,1391.1705070687171,1391.1705070687171,0.0,0.0,0.0,11500.321617784111
2020-10-11,10128.658831969518,11621.070476378021,14534.447282513762,10128.658831969518,10128.658831969518,2923.6322996992003,2923.6322996992003,2923.6322996992003,2923.6322996992003,2923.6322996992003,2923.6322996992003,0.0,0.0,0.0,13052.291131668719
2020-10-18,10148.16655322364,12696.873752297677,15443.409588307703,10148.16655322364,10148.16655322364,3890.3473126317153,3890.3473126317153,3890.3473126317153,3890.3473126317153,3890.3473126317153,3890.3473126317153,0.0,0.0,0.0,14038.513865855355
2020-10-25,10167.674274477764,12974.683483184677,15984.526111932924,10167.674274477764,10167.674274477764,4250.392064512329,4250.392064512329,4250.392064512329,4250.392064512329,4250.392064512329,4250.392064512329,0.0,0.0,0.0,14418.066338990093
2020-11-01,10187.181995731888,12757.326066388838,15648.679291223592,10187.181995731888,10187.181995731888,4094.928234203003,4094.928234203003,4094.928234203003,4094.928234203003,4094.928234203003,4094.928234203003,0.0,0.0,0.0,14282.11022993489
2020-11-08,10206.68971698601,12357.713904556662,15240.05967680243,10206.68971698601,10206.68971698601,3593.216635585984,3593.216635585984,3593.216635585984,3593.216635585984,3593.216635585984,3593.216635585984,0.0,0.0,0.0,13799.906352571994
2020-11-15,10226.197438240133,11869.840434375155,14721.730166766221,10226.197438240133,10226.197438240133,3067.3974017666146,3067.3974017666146,3067.3974017666146,3067.3974017666146,3067.3974017666146,3067.3974017666146,0.0,0.0,0.0,13293.594840006748
2020-11-22,10245.705159494257,11691.08344229778,14599.02982160734,10245.705159494257,10245.705159494257,2898.3476850214765,2898.3476850214765,2898.3476850214765,2898.3476850214765,2898.3476850214765,2898.3476850214765,0.0,0.0,0.0,13144.052844515732
2020-11-29,10265.212877143429,12051.49318115246,14856.486913860914,10265.212877143429,10265.212877143429,3192.7594747058743,3192.7594747058743,3192.7594747058743,3192.7594747058743,3192.7594747058743,3192.7594747058743,0.0,0.0,0.0,13457.972351849303
2020-12-06,10284.720594792601,12481.165157235479,15359.145213245592,10284.720594792601,10284.720594792601,3588.8125565694963,3588.8125565694963,3588.8125565694963,3588.8125565694963,3588.8125565694963,3588.8125565694963,0.0,0.0,0.0,13873.533151362099
2020-12-13,10304.228312441774,12507.519003621557,15277.026568376668,10304.228312441774,10304.228312441774,3560.034433786098,3560.034433786098,3560.034433786098,3560.034433786098,3560.034433786098,3560.034433786098,0.0,0.0,0.0,13864.262746227872
2020-12-20,10323.736030090946,11914.998544730513,14726.177155112575,10323.736030090946,10323.736030090946,2996.602978267389,2996.602978267389,2996.602978267389,2996.602978267389,2996.602978267389,2996.602978267389,0.0,0.0,0.0,13320.339008358334
2020-12-27,10343.243747740118,11308.495767126378,14078.917245583936,10343.243747740118,10343.243747740118,2410.8872570101435,2410.8872570101435,2410.8872570101435,2410.8872570101435,2410.8872570101435,2410.8872570101435,0.0,0.0,0.0,12754.131004750261
2021-01-03,10362.751465389292,11389.226504639815,14239.378016847697,10362.751465389292,10362.751465389292,2458.2798248253207,2458.2798248253207,2458.2798248253207,2458.2798248253207,2458.2798248253207,2458.2798248253207,0.0,0.0,0.0,12821.031290214612
